"address","in","ratio","currentHoldings","lastHoldings","lastWeekPayoutInCRE8R","dif","cre8rPrice","basicBribe","out","bogusestBribe","basicBoost","boostedBribe","boostedBonus","boostedBonanza","payoutUSD","payoutCre8r","payoutCre8rInUSD","basicBoost2AmpInUSD","boostedBonus2AmpInUSD"
"0xa3b926f6d2bB5507fE711847640bA2086CB11A75","",0.0010210334642133754,4696.002463672691,3972.6994138855416,318.2078590509722,405.09519073617776,0.00663,1.9675047977210645,"",0,0,2.4593809971513307,0,0,2.4593809971513307,370.9473600529911,2.4593809971513307,2.164255277493171,0
"0xE7377048eDeec220187b3f3B3dCB8B621fE26EfB","",0.0006198166088639226,5162.390144396181,4881.314635039875,239.76238275498483,41.31312660132153,0.00663,1.194370404486683,"",0,0,1.4929630056083538,0,0,1.4929630056083538,225.1829571053324,1.4929630056083538,1.3138074449353514,0
"0x49d62272371bf192Fc722AeD307c97d00dcC3D30","",0.0010082732959445318,225.54337986959996,225.54337986959996,0,0,0.00663,1.9429162869928487,"",0,2.1372079156921338,2.428645358741061,0,0,2.428645358741061,366.3115171555145,2.428645358741061,2.1372079156921338,0
"0x71742CC139223c3AD78a5f63D518F3C792A3f4C6","",0.0005821226784620426,3041.8672056550795,3003.7179992049805,0,38.14920645009897,0.00663,1.12173518584789,"",0,1.233908704432679,1.4021689823098624,0,0,1.4021689823098624,211.48853428504714,1.4021689823098624,1.233908704432679,0
"0xe2860665106CebB46BE5E1388595feE42f43CA5D","",0.000822185093349312,0,0,0,0,0.00663,1.5843291845735783,"",0.7921645922867891,0,0,0,0,0.7921645922867891,119.48183895728344,0.7921645922867891,0,0
"0x6c1333b30C53F132dD2D928d27892d89F110cbF8","",0.0008084411221655042,1211.0246917967997,1211.0246917967997,0,0,0.00663,1.5578449113429105,"",0,1.7136294024772016,1.9473061391786382,0,0,1.9473061391786382,293.71133320944773,1.9473061391786382,1.7136294024772016,0
"0x1bc2dd08c5332852CF647d746bC746B94d24950b","",0.0007937513893150154,7540.347690680921,7209.744951302861,226.55347926518857,104.0492601128708,0.00663,1.5295381801009094,"",0,0,1.9119227251261366,0,0,1.9119227251261366,288.374468344817,1.9119227251261366,1.6824919981110005,0
"0x3ba1d5bb378069758a4C27953Ad7F01c4D80a461","",0.000598924507485483,1221.597922473895,983.4442508203831,220.7681846387272,17.385487014784758,0.00663,1.154111871209105,"",0,0,1.4426398390113813,0,0,1.4426398390113813,217.59273589915253,1.4426398390113813,1.2695230583300157,0
"0x7b932C1aeFa5DEEdff57004DDA68AFFD6685c38c","",0.0005823345184117612,1023.7818804551999,810.5388788351999,216.71036751720038,-3.4673658972002386,0.00663,1.1221433958939155,"",0,0,1.4026792448673944,0,0,1.4026792448673944,211.56549696340792,1.4026792448673944,1.2343577354833073,0
"0xa9A979fcB2D8Caa59025A3fDD1Bc8A1b591162b6","",0.0005791085741590976,2672.5826982657663,2421.374998075329,215.50986240805548,35.69783778238161,0.00663,1.1159270856389072,"",0,0,1.3949088570486339,0,0,1.3949088570486339,210.39349276751642,1.3949088570486339,1.227519794202798,0
"0x9F4E715fddc7c5a4C66a1F908927443Dcd9d7647","",0.00047919646412344,1176.655968959375,1021.439866092851,176.34936357627296,-21.133260709749038,0.00663,0.9233990611073718,"",0,0,1.1542488263842148,0,0,1.1542488263842148,174.09484560847886,1.1542488263842148,1.015738967218109,0
"0xD901607bDaaed8d08d1B11285E10b9CA2645e135","",0.0004576027239347642,0,0,0,0,0.00663,0.8817884881819351,"",0.44089424409096756,0,0,0,0,0.44089424409096756,66.49988598657129,0.44089424409096756,0,0
"0x1EE840962f7E8414092A25a216ec94d06E4600d5","",0.0000640932225464927,0,0,0,0,0.00663,0.12350596457558924,"",0.06175298228779462,0,0,0,0,0.06175298228779462,9.314175307359672,0.06175298228779462,0,0
"0x4Fe49089770fE363fB07b5c19495c23B2863BeE6","",0.00016111343738541646,808.3294807509694,715.3807604326337,59.094085183300415,33.85463513503532,0.00663,0.31046138265150375,"",0,0,0.38807672831437967,0,0,0.38807672831437967,58.533443184672656,0.38807672831437967,0.34150752091665415,0
"0x397A7EC90bb4f0e89Ffd2Fb3269a3ef295d4f84A","",0.00011362450401519859,0.1253389665275147,327342.1992390111,0,-327342.07390004455,0.00663,0.21895144931494695,"",0.10947572465747347,0,0,0,0,0.10947572465747347,16.5121756647773,0.10947572465747347,0,0
"0xE7CA372E697edb3ACD2354219d055972C4EE4539","",1.34788535197557e-7,0.32093083453803595,0.2856296119670759,0.03587522619184585,-0.0005740036208858323,0.00663,0.0002597339842169631,"",0,0,0.00032466748027120383,0,0,0.00032466748027120383,0.048969454037888965,0.00032466748027120383,0.0002857073826386594,0
